school_name,school_id,all_subjects,latitude,longitude
Jacinto Ponce ES,104743,167.0,14.97003333,120.8944833
Paitan ES,104745,174.54,15.00838851,120.9000244
Sabang ES,104746,146.86,14.965536,120.909283
Subic ES,104748,187.51,14.9633252,120.903328
Tilapayong ES,104749,163.99,14.97925343,120.8764988
Calantipay ES,104751,165.26,14.97002808,120.8585199
Concepcion ES,104752,180.2,14.9525238,120.8890522
Makinabang ES,104753,158.6,14.9199102,120.88651
Matangtubig ES,104754,176.09,14.95466231,120.8624008
Pinagbarilan ES,104755,184.41,14.95662121,120.8790467
San Jose ES,104756,159.69,15.001914,120.869522
Sta. Barbara ES,104757,176.59,14.94185051,120.8903965
Tarcan ES,104758,174.79,14.93250633,120.8792531
Tiaong ES,104759,181.74,14.94406692,120.8961306
V. Delas Flores ES,104760,135.09,14.94563285,120.8858902
Bambang ES,104761,136.25,14.78835121,120.9285873
Batia ES,104762,136.81,14.82985867,120.9438885
Biñang ES,104763,122.33,14.7938974,120.930765
Bunducan ES,104764,164.75,14.78966018,120.941271
Bunlo ES,104765,175.09,14.78817952,120.932145
Duhat ES,104767,175.15,14.785974,120.9533754
Lolomboy ES,104768,103.24,14.77923802,120.9337264
Taal ES,104769,169.77,14.81247406,120.9332251
Tambubong ES,104770,117.0,14.815741,120.939764
Bambang ES,104772,174.95,14.7760287,120.881812
Dr. M.S. Tansinsin MES,104773,157.1,14.7931,120.879
Gen. Gregorio del Pilar ES,104774,143.54,14.793405,120.881061
Matungao ES,104777,147.78,14.80501782,120.8802864
Pitpitan ES,104779,159.8,14.805859,120.860214
Sta. Ana ES,104780,157.83,14.787043,120.883888
Sta. Ines ES,104781,109.88,14.78494,120.881689
Tabang ES,104782,143.47,14.810895,120.867746
Taliptip ES,104783,102.9,14.7659489,120.8971342
Bonga Mayor ES,104784,185.0,14.95447108,120.9391384
Bonga Menor ES,104785,188.86,14.9503727,120.9339875
Bustos ES,104786,135.66,14.95579851,120.9189759
Camachilihan ES,104787,172.36,14.9029403,120.9150353
Cambaog ES,104788,167.53,14.92792524,120.8967266
Catacte ES,104789,168.05,14.91878218,120.9434225
Dr. M.G. Ramirez MES,104790,164.36,14.914017,120.952003
Liciada ES,104791,173.79,14.90902467,120.9302808
Malamig ES,104792,165.91,14.93245119,120.9279864
S.S. Del Rosario MES,104793,175.24,14.93118546,120.9065202
San Pedro ES,104794,173.3,14.94904971,120.9083906
Tibagan ES,104795,136.3,14.9565298,120.9474307
Balite ES,104796,185.58,14.898802,120.785973
Buguion ES,104797,156.62,14.89827012,120.7928855
Bulusan ES,104798,188.63,14.908698,120.745071
Calizon ES,104799,178.96,14.912588,120.753716
Calumpang ES,104800,176.47,14.88477484,120.783868
Caniogan ES,104802,169.81,14.903898,120.774292
Arsenio Santos MES,104803,181.77,14.922761,120.768906
F. Mendoza MES,104804,185.22,14.917567,120.768022
Frances ES,104805,165.18,14.917367,120.758073
Gugo ES,104806,182.68,14.90156743,120.7547054
Iba O este ES,104808,178.89,14.8686,120.764
Juan T. Pagdanganan MES,104809,169.73,14.905761,120.780762
Longos ES,104811,179.22,14.875739,120.785905
Meysulao ES,104812,183.51,14.90793561,120.7394712
Meyto ES,104813,171.72,14.882,120.733177
Panducot ES,104814,178.48,14.87443173,120.737256
Pascual O. Cruz MES,104815,181.65,14.89857344,120.7359034
Pungo ES,104816,181.46,14.90184898,120.7901252
San Jose ES,104817,175.33,14.883398,120.731852
San Marcos ES,104818,178.22,14.897685,120.778858
Cutcut ES,104820,154.02,14.86207581,120.895173
Daungan ES,104821,162.92,14.8554018,120.8868114
Doña Escolastica Aldaba Punong Bayan ES,104822,181.15,14.85764722,120.859
Malis ES,104825,169.85,14.84031121,120.8816353
Pritil ES,104826,159.59,14.85458387,120.8683797
Pulonggubat ES,104827,162.0,14.83378056,120.8880889
